chain,chain_id,recipient_address,recipient_kind,can_receive_erc721,contract_label,safe_version,body_receipts,direct_asset_receipts,total_receipts,example_assets,on_erc721_received_result
Ethereum,1,0x77fb4fa1ABA92576942aD34BC47834059b84e693,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000019,
Ethereum,1,0x79d1E7F1A6E0Bbb3278a9d2B782e3A8983444cb6,EOA/no-code,n/a,,,1,1,2,Orange body V4 3000000015; V4 20000000003,
Ethereum,1,0x7a16eABD1413Bfd468aE9fEBF7C26c62f1fFdc59,EOA/no-code,n/a,,,1,2,3,Original body V4 4000000003; V4 31000000001; V4 47000000001,
Ethereum,1,0x7bE8c264c9DCebA3A35990c78d5C4220D8724B6e,EOA/no-code,n/a,,,10,1,11,Original body V4 4000000023; Original body V4 4000000024; Original body V4 4000000025; Original body V4 4000000026; Original body V4 4000000027; Original body V4 4000000028,
Ethereum,1,0x7C3F14075F6477fea1aF6cf59f325afDfcD3Ddf7,EOA/no-code,n/a,,,0,120,120,V4 49000000005; V4 49000000006; V4 49000000007; V4 49000000008; V4 49000000009; V4 49000000010,
Ethereum,1,0x7D0068d0D8fC2Aa15d897448B348Fa9B30f6d4c9,EOA/no-code,n/a,,,1,0,1,Orange body V4 3000000022,
Ethereum,1,0x80581C6e88Ce00095F85cdf24bB760f16d6eC0D6,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000052,
Ethereum,1,0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714,EOA/no-code,n/a,,,2,0,2,Original body V4 4000000016; Original body V4 4000000017,
Ethereum,1,0x817738DC393d682Ca5fBb268707b99F2aAe96baE,EOA/no-code,n/a,,,2,0,2,Orange body V4 3000000001; Original body V4 4000000011,
Ethereum,1,0x823b92d6a4b2AED4b15675c7917c9f922ea8ADAD,EOA/no-code,n/a,,,19,55,74,Orange body V4 3000000023; Orange body V4 3000000026; Original body V4 4000000041; Original body V4 4000000060; Original body V4 4000000061; Original body V4 4000000062,
Ethereum,1,0x849151d7D0bF1F34b70d5caD5149D28CC2308bf1,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000040,
Ethereum,1,0x87084347AeBADc626e8569E0D386928dade2ba09,EOA/no-code,n/a,,,1,3,4,Orange body V4 3000000014; V4 14000000002; V4 19000000007; V4 28000000004,
Ethereum,1,0x898e24EBC9dAf5a9930f10def8B6a373F859C101,EOA/no-code,n/a,,,4,0,4,Orange body V4 3000000024; Orange body V4 3000000025; Original body V4 4000000058; Original body V4 4000000059,
Ethereum,1,0x8b80755C441d355405CA7571443Bb9247B77Ec16,contract,true,ERC721 receiver-capable contract,,2,0,2,Original body V4 4000000004; Original body V4 4000000005,0x150b7a0200000000000000000000000000000000000000000000000000000000
Ethereum,1,0x95E9A0c113AA9931a4230f91AdE08A491D3f8d54,EOA/no-code,n/a,,,5,0,5,Original body V4 4000000043; Original body V4 4000000044; Original body V4 4000000045; Original body V4 4000000046; Original body V4 4000000047,
Ethereum,1,0x961d4191965C49537c88F764D88318872CE405bE,EOA/no-code,n/a,,,1,1,2,Original body V4 4000000001; V4 42000000001,
Ethereum,1,0x9f729294b308f79243285348A7Be3f58ae5ED31A,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000082,
Ethereum,1,0xa13d49fCbf79EAF6A0a58cBDD3361422DB4eAfF1,EOA/no-code,n/a,,,2,0,2,Orange body V4 3000000002; Original body V4 4000000006,
Ethereum,1,0xA2Fa6144168751D116336B58C5288feaF8bb12C1,contract,true,Safe wallet,1.3.0,1,0,1,Pink body V4 2000000001,0x150b7a0200000000000000000000000000000000000000000000000000000000
Ethereum,1,0xa7226e53F3100C093A0a5BCb6E3D0976EB3db1D6,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000014,
Ethereum,1,0xA99c384f43e72B65BB51fE33b85CE12A32C09526,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000057,
Ethereum,1,0xa9d20b435A85fAAa002f32d66F7D21564130E9cf,EOA/no-code,n/a,,,1,5,6,Orange body V4 3000000012; V4 6000000005; V4 19000000006; V4 25000000004; V4 35000000005; V4 44000000006,
Ethereum,1,0xAAeD9fFF9858d48925904E391B77892BA5Fda824,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000078,
Ethereum,1,0xaECD6D9172d602b93dBA3981991268b44af8096e,EOA/no-code,n/a,,,6,33,39,Alien body V4 1000000001; Pink body V4 2000000004; Orange body V4 3000000020; Original body V4 4000000049; Original body V4 4000000076; Original body V4 4000000077,
Ethereum,1,0xBD07B7Ab42cE411A752DB600604ECA7fE5501947,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000081,
Ethereum,1,0xDfd60a8E1e17FBb78E8CA332906A822D862f3D57,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000080,
Ethereum,1,0xE16a238d207B9ac8B419C7A866b0De013c73357B,EOA/no-code,n/a,,,1,0,1,Orange body V4 3000000009,
